,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,theta,mu,sigma,Prob_1,pz1_pt1,Run,Event,Z_Prob_1_abs
15608,170.47562352867703,-163.50949850512703,-173.43147430763446,-156.37970474795145,3.2870672789481965,-0.8250801232963765,-1.1587786818045054,0.9637334026888175,0.5517867653565813,-0.7228501431000632,-1.0262743857005607,-1.2224034495921021,0.40293310090565093,-1.377952206834026,-1.2298491100421165,-0.9637334026888175,-0.7246635725079349,3.2870672789481965,-1.6832229628815962,173.3851200251997,-80.11720609990145,166784,50285782,173.3851200251997
12471,2.8614624571944636,-3.303494827012559,6.871725916629007,0.5708024048492751,17.331095515340202,0.20150606388016168,1.1151394794880747,-1.0376026487924075,-0.1488977717103759,-0.4585319380924871,0.8330128208522742,0.03998005877911655,0.1757930691208465,0.053818331394172136,1.0347201330040035,1.0376026487924075,-0.7766471426482054,17.331095515340202,-1.7197354641562679,6.831123997803802,0.13992870289264853,166784,22067635,6.831123997803802
31225,1.9520667008386132,-2.757983701241971,-2.734050978790458,1.9438896537373285,7.801183679881154,0.8226931381162532,-1.1774335455927372,-1.0376026487924075,0.6159297815154651,-1.242021535899772,-1.0581105179720176,1.0438964718050652,0.7572639745959873,0.9332482159357838,-1.3672791391360808,1.0376026487924075,-0.9054190995341894,7.801183679881154,-1.6712851495046044,-2.7709657325010575,0.5550601342491442,160957,104643882,2.7709657325010575
11663,0.7719885933469749,-1.185211512473867,-1.8835090880914638,-0.7039878379764156,4.308627519571272,-0.42066738289349775,-1.0614990538735203,0.9637334026888175,-0.12244060586269741,-0.44669804613652275,-0.7653236161014308,-0.4711978126342412,-0.0059968196615718125,-0.8497764567462277,-1.1874262646975553,-0.9637334026888175,-0.7912267959221996,4.308627519571272,-1.7242524746232377,1.9030032716085474,-0.22945690862300652,166784,13277914,1.9030032716085474
5452,1.1462832021778022,-3.6110799391398274,1.882516051743113,-0.3010275967500061,7.519298716961931,-0.06709076558066202,1.46124207000621,-1.0376026487924075,1.8715509813602758,-4.036675306662549,2.1573215438997475,-0.6220802560946613,3.8642643519316153,-0.32030615825135156,1.3612760930450556,1.0376026487924075,-1.8309965031610667,7.519298716961931,-1.7333402694913076,1.8438292347117071,-0.011010655573857485,165617,129703476,1.8438292347117071
28877,0.7730548140356157,-2.3618046948185922,-1.769517217525925,0.20911800268963618,5.432153848533836,0.19422208206427494,-1.2522724697314083,-1.0376026487924075,0.15484489374012478,-1.1902312257541388,-1.0710058380526322,0.10794523099165818,0.7496986027122946,0.0787383882304224,-1.3518980813344534,1.0376026487924075,-1.5872098442897624,5.432153848533836,-1.7060768848870975,-1.8068022062810312,0.13630146179826239,163589,48573691,1.8068022062810312
17493,0.7982054256671152,-2.0315217381624335,-1.624465764250113,0.682772302732342,4.75637837472119,0.5100889185177803,-1.2341662784075362,-1.0376026487924075,0.7179667949420423,-1.5898163711441065,-1.5172219674417318,0.7689247431795749,0.02727398130676785,0.5205030321457683,-1.3291874219811477,1.0376026487924075,-1.3338881490234253,4.75637837472119,-1.705485371611661,-1.6618064308191183,0.3248027391657985,166784,66059153,1.6618064308191183
17451,0.5337276133726055,-1.222773684081998,-1.3638980990473464,-0.5441250005437274,3.223077029474695,-0.4121694041082966,-1.1447326667168956,-1.0376026487924075,-0.22488828760883242,-0.5144835016539909,-0.660803198144203,-0.33815757041886363,-0.08463880778218284,-0.6718839298069346,-1.2601670073695124,1.0376026487924075,-1.0360385080385757,3.223077029474695,-1.667037008708288,-1.4013387841797216,-0.22364551754140852,166784,127208053,1.4013387841797216
17152,0.29758530439762015,-0.7079760951143604,1.3767278623224875,-0.19870025352222354,2.6256161242314735,-0.15730591536284264,1.133026201826203,0.9637334026888175,0.04716541011469123,-0.641616606644152,1.0348232827979889,-0.3302038180566158,0.4751566233113071,-0.45256585384114745,1.063094575374515,-0.9637334026888175,-0.8114810027469423,2.6256161242314735,-1.711669374036679,-1.3559822410425046,-0.06317277662318867,166784,65331824,1.3559822410425046
17823,0.5509327169572041,-1.3460604965017748,-1.3034160221303328,0.6270909797273992,3.249000994499914,0.5984071980354071,-1.1815485890754354,-1.0376026487924075,0.2393075533269938,-0.8216510869237303,-0.9356957893194231,0.7028823249164656,0.3668529059276507,0.8409037628975576,-1.2880972314641645,1.0376026487924075,-1.11996059771921,3.249000994499914,-1.6201461381464117,-1.3408799232301924,0.3839755929722846,166784,69284049,1.3408799232301924
